Model,Config,precision_train,recall_train,f-score_train,accuracy_train,precision_val,recall_val,f-score_val,accuracy_val,datetime
DecisionTree,train/dtc_max_features=None_max_depth=None_min_sample_split_2_min_samples_leaf_1_20210704-222535,0.9924682296231376,0.9924682296231376,0.9924682296231376,0.9927272727272727,0.7076981707317074,0.7133072407045009,0.7086181993259508,0.7134831460674157,20210704-222535
DecisionTree,train/dtc_max_features=10_max_depth=20_min_sample_split_2_min_samples_leaf_1_20210704-222535,0.9924682296231376,0.9924682296231376,0.9924682296231376,0.9927272727272727,0.6900852742777142,0.6948467058056099,0.6910119583386909,0.6966292134831461,20210704-222535
DecisionTree,train/dtc_max_features=10_max_depth=64_min_sample_split_2_min_samples_leaf_1_20210704-222535,0.9924682296231376,0.9924682296231376,0.9924682296231376,0.9927272727272727,0.668864933417882,0.6737116764514025,0.6691025641025641,0.6741573033707865,20210704-222535
DecisionTree,train/dtc_max_features=8_max_depth=4_min_sample_split_5_min_samples_leaf_11_20210704-222535,0.8495251510882901,0.8160056967572304,0.8253650566002733,0.8381818181818181,0.7914966434118731,0.7889106327462492,0.7900943396226414,0.797752808988764,20210704-222535
DecisionTree,train/dtc_max_features=8_max_depth=6_min_sample_split_5_min_samples_leaf_11_20210704-222535,0.8725777016202059,0.8662357581069238,0.8690164324839247,0.8745454545454545,0.709490588390154,0.7076320939334638,0.708464360587002,0.7191011235955056,20210704-222535
SVM,train/svm_C=1_kernel=rbf_20210704-222535,0.8191303414544395,0.7894692923898532,0.7986815544465826,0.8163636363636364,0.8614263696230909,0.8365296803652968,0.8444265160683071,0.8539325842696629,20210704-222535
SVM,train/svm_C=2_kernel=rbf_20210704-222535,0.8191303414544395,0.7894692923898532,0.7986815544465826,0.8163636363636364,0.853587319243604,0.8317677756033921,0.8389140271493213,0.848314606741573,20210704-222535
SVM,train/svm_C=10_kernel=rbf_20210704-222535,0.8249113475177305,0.79563028482421,0.8048911154870845,0.8218181818181818,0.853587319243604,0.8317677756033921,0.8389140271493213,0.848314606741573,20210704-222535
SVM,train/svm_C=50_kernel=rbf_20210704-222535,0.8612946750279817,0.827714730752114,0.8385465931700317,0.8527272727272728,0.8443502824858757,0.8180691454664057,0.8259550220843589,0.8370786516853933,20210704-222535
SVM,train/svm_C=100_kernel=rbf_20210704-222535,0.8786300505050505,0.8670032265242547,0.8719377963422894,0.88,0.7987967914438503,0.7915851272015655,0.7944911759854858,0.8033707865168539,20210704-222535
SVM,train/svm_C=50_kernel=linear_20210704-222535,0.7915019906955039,0.7779817534490432,0.7831068478550494,0.7981818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-222535
SVM,train/svm_C=1_kernel=linear_20210704-222535,0.7915019906955039,0.7779817534490432,0.7831068478550494,0.7981818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-222535
SVM,train/svm_C=250_kernel=sigmoid_20210704-222535,0.6749137739207833,0.6749137739207833,0.6749137739207833,0.6909090909090909,0.6755987055016182,0.6769732550554468,0.6761954261954262,0.6853932584269663,20210704-222535
SVM,train/svm_C=25_kernel=linear_20210704-222536,0.7915019906955039,0.7779817534490432,0.7831068478550494,0.7981818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-222536
NaiveBayes,train/naive_bayers_categorical_Embarked+passenger_sex+has_fam+Age+Fare,0.6988325797962076,0.6948356807511737,0.6965811965811965,0.7183098591549296,0.6743451362379886,0.67279843444227,0.6734800838574424,0.6853932584269663,20210704-222536
NaiveBayes,train/naive_bayers_categorical_Age+Fare+SibSp+Parch+Class_Middle+Class_Upper+Port_C+Port_Q+passenger_sex,0.7397356386644114,0.7530516431924883,0.7420031731408977,0.75,0.7549576859921687,0.7633398564905414,0.751270325203252,0.7528089887640449,20210704-222536
NaiveBayes,train/naive_bayes_categorical_Embarked+passenger_sex+has_fam,0.7590245775729647,0.7497652582159624,0.7535775182196991,0.772887323943662,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-222536
NaiveBayes,train/naive_bayers_Age+Fare+SibSp+Parch+Class_Middle+Class_Upper+Port_C+Port_Q+passenger_sex,0.7397356386644114,0.7530516431924883,0.7420031731408977,0.75,0.7549576859921687,0.7633398564905414,0.751270325203252,0.7528089887640449,20210704-222536
LinearReg,train/linear_reg_lr_0.0001_batch_size_32_epochs_1000_lmbda_0_method_lasso,0.8153988868274582,0.5261904761904762,0.43657694109410633,0.6381818181818182,0.8017241379310345,0.5273972602739726,0.42829213796955734,0.6123595505617978,20210704-222543
LinearReg,train/linear_reg_lr_0.01_batch_size_32_epochs_1000_lmbda_0_method_lasso,0.7592840414854467,0.7713585434173669,0.7619899480364596,0.769090909090909,0.8183655425034735,0.828832354859752,0.8183673469387756,0.8202247191011236,20210704-222549
LinearReg,train/linear_reg_lr_0.001_batch_size_32_epochs_10000_lmbda_0.005_method_lasso,0.7419811855377989,0.7392156862745098,0.7404966127237644,0.7563636363636363,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-222646
LinearReg,train/linear_reg_lr_0.001_batch_size_32_epochs_10000_lmbda_0.05_method_lasso,0.7439630328927755,0.740686274509804,0.7421853798139788,0.7581818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-222744
LinearReg,train/linear_reg_lr_0.001_batch_size_32_epochs_10000_lmbda_0.0001_method_ridge,0.7502662406815761,0.7600140056022409,0.7531612828076233,0.7618181818181818,0.8055660974067046,0.8151337247227658,0.8065464774325533,0.8089887640449438,20210704-222838
LinearReg,train/linear_reg_lr_0.01_batch_size_32_epochs_10000_lmbda_0_method_lasso,0.7848063673081492,0.7686274509803921,0.7745934053292303,0.7927272727272727,0.8080495356037152,0.811545988258317,0.8095516000389067,0.8146067415730337,20210704-222932
SVM,train/svm_C=1_kernel=linear_20210704-223341,0.7915019906955039,0.7779817534490432,0.7831068478550494,0.7981818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-223341
SVM,train/svm_C=1_kernel=linear_20210704-223354,0.7915019906955039,0.7779817534490432,0.7831068478550494,0.7981818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-223354
SVM,train/svm_C=1_kernel=linear_20210704-223407,0.7915019906955039,0.7779817534490432,0.7831068478550494,0.7981818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-223407
SVM,train/svm_C=1_kernel=linear_20210704-223408,0.7915019906955039,0.7779817534490432,0.7831068478550494,0.7981818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-223408
SVM,train/svm_C=1_kernel=linear_20210704-223409,0.7915019906955039,0.7779817534490432,0.7831068478550494,0.7981818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-223409
SVM,train/svm_C=1_kernel=linear_20210704-223409,0.7915019906955039,0.7779817534490432,0.7831068478550494,0.7981818181818182,0.8293666801129488,0.8195694716242661,0.8234126984126985,0.8314606741573034,20210704-223409
SVM,train/svm_C=50_kernel=rbf_20210704-223448,0.8612946750279817,0.827714730752114,0.8385465931700317,0.8527272727272728,0.8443502824858757,0.8180691454664057,0.8259550220843589,0.8370786516853933,20210704-223448
DecisionTree,train/dtc_max_features=8_max_depth=4_min_sample_split_5_min_samples_leaf_11_20210704-223609,0.8495251510882901,0.8160056967572304,0.8253650566002733,0.8381818181818181,0.8106951871657754,0.8031963470319634,0.8062345373577438,0.8146067415730337,20210704-223609
